"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"67","Sterling Brown","SF","27","LAL","4","24",".000","13.2",NA,".500",".500",".000",".000",".000",".500",NA,".000",".000","","","",".000",NA,"","",NA,".000","0",NA,".500",".000",NA,"0","0"
"68","Troy Brown Jr.","SF","23","LAL","76","1860",".430","17.5",NA,".396",".166",".148",".032",".049",".604",NA,".505",".688",".377",".400",".348",".381",NA,".667",".953",NA,".030","10",NA,".395",".405",NA,"0","0"
"69","Jalen Brunson","PG","26","NYK","68","2379",".491","12.9",NA,".731",".149",".331",".172",".079",".269",NA,".519",".612",".504",".471",".511",".416",NA,".166",".575",NA,".002","2",NA,".205",".424",NA,"0","0"
"70","Thomas Bryant","C","25","TOT","59","1081",".623","8.4",NA,".840",".412",".257",".100",".062",".160",NA,".658",".803",".537",".486",".478",".441",NA,".775",".962",NA,".244","81",NA,".220",".462",NA,"1","0"
"70","Thomas Bryant","C","25","LAL","41","876",".654","8.3",NA,".834",".432",".256",".093",".053",".166",NA,".697",".823",".558",".643",".438",".440",NA,".777",".955",NA,".252","70",NA,".260",".462",NA,"1","0"
"70","Thomas Bryant","C","25","DEN","18","205",".485","8.8",NA,".868",".324",".265",".132",".103",".132",NA,".492",".682",".444",".000",".571",".444",NA,".759","1.000",NA,".206","11",NA,".000","",NA,"0","0"
"71","Reggie Bullock","SF","31","DAL","78","2364",".409","21.7",NA,".155",".077",".040",".019",".019",".845",NA,".562",".750",".421",".444",".222",".380",NA,".854",".980",NA,".002","1",NA,".491",".451",NA,"0","0"
"72","Alec Burks","SG","31","DET","51","1122",".436","17.7",NA,".479",".087",".144",".122",".120",".521",NA,".459",".650",".409",".464",".400",".414",NA,".307",".657",NA,".002","1",NA,".213",".490",NA,"0","0"
"73","Deonte Burton","PF","29","SAC","2","6",".000","13.8",NA,".500",".000",".500",".000",".000",".500",NA,".000","",".000","","",".000",NA,"","",NA,".000","0",NA,"1.000",".000",NA,"0","0"
"74","Jared Butler","PG","22","OKC","6","77",".469","14.5",NA,".563",".188",".344",".031",".000",".438",NA,".444",".333",".545",".000","",".500",NA,".375",".857",NA,".000","0",NA,".071",".000",NA,"0","0"
"75","Jimmy Butler","PF","33","MIA","64","2138",".539","8.3",NA,".884",".314",".341",".158",".055",".116",NA,".564",".703",".492",".500",".408",".350",NA,".377",".694",NA,".068","54",NA,".534",".345",NA,"1","0"
"76","John Butler","C","20","POR","19","221",".321","19.0",NA,".340",".151",".094",".057",".038",".660",NA,".500",".625",".600",".000",".500",".229",NA,".889","1.000",NA,".038","2",NA,".143",".200",NA,"0","0"
"77","Jamal Cain","PF","23","MIA","18","240",".561","10.5",NA,".697",".394",".258",".045",".000",".303",NA,".652",".731",".588",".333","",".350",NA,".533","1.000",NA,".045","3",NA,".550",".273",NA,"1","0"
"78","Kentavious Caldwell-Pope","SG","29","DEN","76","2381",".462","17.3",NA,".495",".136",".114",".081",".155",".505",NA,".502",".686",".403",".431",".449",".423",NA,".828",".926",NA,".024","12",NA,".411",".405",NA,"1","0"
"79","Facundo Campazzo","PG","31","DAL","8","52",".231","22.0",NA,".154",".077",".077",".000",".000",".846",NA,".000",".000",".000","","",".273",NA,"",".667",NA,".000","0",NA,".091","1.000",NA,"0","0"
"80","Vlatko Čančar","PF","25","DEN","60","889",".476","15.3",NA,".493",".233",".220",".035",".004",".507",NA,".580",".717",".480",".250","1.000",".374",NA,".662",".977",NA,".026","4",NA,".330",".421",NA,"4","1"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"81","Clint Capela","C","28","ATL","65","1730",".653","2.1",NA,".998",".761",".218",".004",".004",".002",NA,".654",".725",".402",".000",".500",".000",NA,".717","",NA,".287","144",NA,".000","",NA,"1","0"
"82","Vernon Carey Jr.","C","21","WAS","11","28",".250","7.7",NA,"1.000",".375",".250",".125",".250",".000",NA,".250",".667",".000",".000",".000","",NA,".500","",NA,".125","1",NA,"","",NA,"0","0"
"83","Jevon Carter","PG","27","MIL","81","1810",".423","19.9",NA,".404",".092",".067",".090",".154",".596",NA,".425",".538",".237",".431",".437",".421",NA,".340",".789",NA,".004","1",NA,".231",".436",NA,"0","0"
"84","Wendell Carter Jr.","C","23","ORL","57","1690",".525","13.3",NA,".633",".282",".179",".101",".070",".367",NA,".624",".850",".473",".452",".349",".356",NA,".649",".988",NA,".145","84",NA,".218",".449",NA,"0","0"
"85","Michael Carter-Williams","PG","31","ORL","4","44",".429","10.4",NA,".786",".143",".500",".143",".000",".214",NA,".455","1.000",".429",".000","",".333",NA,".000","1.000",NA,".000","0",NA,".333",".000",NA,"0","0"
"86","Alex Caruso","PG","28","CHI","67","1575",".455","15.0",NA,".472",".290",".112",".052",".017",".528",NA,".556",".699",".281",".400",".400",".364",NA,".533",".945",NA,".028","6",NA,".490",".405",NA,"0","0"
"87","Julian Champagnie","SF","21","TOT","17","320",".454","17.9",NA,".369",".169",".123",".031",".046",".631",NA,".542",".636",".438",".500",".500",".402",NA,".846","1.000",NA,".031","3",NA,".256",".429",NA,"0","0"
