"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"372","Onyeka Okongwu","C","22","ATL","80","1849",".638","4.6",NA,".974",".606",".233",".050",".074",".026",NA,".647",".764",".448",".560",".405",".308",NA,".706","1.000",NA,".207","95",NA,".769",".400",NA,"1","0"
"373","Isaac Okoro","SF","22","CLE","76","1652",".494","12.5",NA,".517",".370",".130",".006",".003",".483",NA,".617",".687",".413","1.000",".000",".363",NA,".735",".935",NA,".096","30",NA,".830",".380",NA,"0","0"
"374","KZ Okpala","PF","23","SAC","35","248",".421","16.0",NA,".447",".158",".237",".026",".026",".553",NA,".529",".833",".333",".000","1.000",".333",NA,".667","1.000",NA,".053","2",NA,".524",".455",NA,"0","0"
"375","Victor Oladipo","SG","30","MIA","42","1106",".397","16.7",NA,".474",".144",".156",".107",".055",".526",NA,".471",".534",".492",".326",".545",".330",NA,".278",".586",NA,".010","3",NA,".179",".158",NA,"1","0"
"376","Kelly Olynyk","C","31","UTA","68","1942",".499","14.5",NA,".576",".223",".268",".048",".038",".424",NA,".576",".702",".544",".296",".429",".394",NA,".643",".968",NA,".025","13",NA,".203",".438",NA,"0","0"
"377","Eugene Omoruyi","SF","25","TOT","40","645",".443","11.7",NA,".610",".404",".180",".013",".013",".390",NA,".547",".707",".244",".333",".000",".281",NA,".618","1.000",NA,".053","11",NA,".472",".333",NA,"1","0"
"377","Eugene Omoruyi","SF","25","OKC","23","272",".468","9.6",NA,".670",".500",".149",".011",".011",".330",NA,".571",".681",".286",".000",".000",".258",NA,".611","1.000",NA,".096","8",NA,".548",".353",NA,"0","0"
"377","Eugene Omoruyi","SF","25","DET","17","373",".425","13.1",NA,".567",".336",".201",".015",".015",".433",NA,".526",".733",".222",".500",".000",".293",NA,".625","1.000",NA,".022","3",NA,".431",".320",NA,"1","0"
"378","Cedi Osman","SF","27","CLE","77","1548",".451","16.7",NA,".411",".268",".100",".025",".015",".589",NA,".564",".732",".226",".538",".000",".372",NA,".764",".862",NA,".013","7",NA,".253",".430",NA,"2","0"
"379","Kelly Oubre Jr.","SF","27","CHO","48","1548",".431","13.8",NA,".586",".252",".206",".093",".035",".414",NA,".510",".660",".361",".447",".483",".319",NA,".539",".917",NA,".067","47",NA,".295",".410",NA,"0","0"
"380","Chris Paul","PG","37","PHO","59","1889",".440","18.0",NA,".609",".025",".127",".302",".154",".391",NA,".482",".588",".447",".485",".485",".375",NA,".163",".551",NA,".000","0",NA,".073",".421",NA,"1","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"381","Cameron Payne","PG","28","PHO","48","968",".415","15.8",NA,".592",".124",".267",".146",".055",".408",NA,".448",".607",".388",".439",".400",".368",NA,".300",".662",NA,".000","0",NA,".097",".333",NA,"3","0"
"382","Gary Payton II","SG","30","TOT","22","367",".594","10.5",NA,".623",".449",".159",".014",".000",".377",NA,".651",".677",".636",".000","",".500",NA,".714","1.000",NA,".087","3",NA,".769",".550",NA,"0","0"
"382","Gary Payton II","SG","30","POR","15","255",".585","11.2",NA,".585",".488",".073",".024",".000",".415",NA,".625",".700",".333",".000","",".529",NA,".733","1.000",NA,".049","1",NA,".706",".583",NA,"0","0"
"382","Gary Payton II","SG","30","GSW","7","112",".607","9.5",NA,".679",".393",".286",".000",".000",".321",NA,".684",".636",".750","","",".444",NA,".692","1.000",NA,".143","2",NA,".889",".500",NA,"0","0"
"383","Theo Pinson","SG","27","DAL","40","323",".356","19.6",NA,".287",".126",".126",".023",".011",".713",NA,".360",".364",".364",".500",".000",".355",NA,".778",".818",NA,".023","1",NA,".145",".556",NA,"0","0"
"384","Scotty Pippen Jr.","PG","22","LAL","6","32",".333","11.8",NA,".750",".167",".333",".167",".083",".250",NA,".333",".500",".500",".000",".000",".333",NA,".333",".000",NA,".000","0",NA,".333",".000",NA,"0","0"
"385","Mason Plumlee","C","32","TOT","79","2054",".680","2.7",NA,"1.000",".707",".250",".033",".010",".000",NA,".680",".766",".463",".500",".600","",NA,".657","",NA,".260","115",NA,"","",NA,"0","0"
"385","Mason Plumlee","C","32","CHO","56","1597",".669","2.8",NA,"1.000",".697",".253",".038",".013",".000",NA,".669",".764",".430",".533",".600","",NA,".623","",NA,".253","90",NA,"","",NA,"0","0"
"385","Mason Plumlee","C","32","LAC","23","457",".727","2.2",NA,"1.000",".750",".239",".011",".000",".000",NA,".727",".773",".619",".000","","",NA,".797","",NA,".295","25",NA,"","",NA,"0","0"
"386","Jakob Poeltl","C","27","TOT","72","1906",".629","4.6",NA,".998",".487",".351",".138",".002",".002",NA,".630",".757",".516",".471",".000",".000",NA,".632","",NA,".045","27",NA,".000","",NA,"1","0"
"386","Jakob Poeltl","C","27","SAS","46","1199",".616","4.9",NA,".997",".500",".343",".152",".003",".003",NA,".618",".768",".481",".441",".000",".000",NA,".598","",NA,".039","15",NA,".000","",NA,"1","0"
"386","Jakob Poeltl","C","27","TOR","26","707",".652","4.2",NA,"1.000",".465",".365",".113",".000",".000",NA,".652",".738",".571",".538","","",NA,".687","",NA,".057","12",NA,"","",NA,"0","0"
"387","Aleksej Pokusevski","PF","21","OKC","34","701",".434","13.2",NA,".582",".305",".201",".052",".024",".418",NA,".483",".645",".300",".308",".333",".365",NA,".600",".974",NA,".056","14",NA,".279",".379",NA,"0","0"
"388","Jordan Poole","PG","23","GSW","82","2458",".430","17.3",NA,".502",".134",".210",".081",".077",".498",NA,".524",".696",".517",".379",".398",".336",NA,".446",".701",NA,".024","27",NA,".118",".333",NA,"8","0"
"389","Kevin Porter Jr.","PG","22","HOU","59","2024",".442","15.7",NA,".564",".153",".221",".115",".076",".436",NA,".501",".711",".385",".461",".478",".366",NA,".180",".525",NA,".054","41",NA,".117",".489",NA,"1","0"
"390","Michael Porter Jr.","SF","24","DEN","62","1798",".487","17.7",NA,".444",".165",".103",".061",".109",".556",NA,".579",".807",".429",".440",".449",".414",NA,".752",".904",NA,".051","39",NA,".185",".524",NA,"2","0"
"391","Otto Porter Jr.","SF","29","TOR","8","146",".500","18.8",NA,".433",".133",".100",".033",".167",".567",NA,".692","1.000","1.000",".000",".400",".353",NA,".556","1.000",NA,".000","0",NA,".235",".250",NA,"0","0"
"392","Bobby Portis","PF","27","MIL","70","1818",".496","13.3",NA,".680",".230",".202",".172",".076",".320",NA,".555",".643",".549",".471",".492",".370",NA,".597","1.000",NA,".025","17",NA,".350",".278",NA,"1","0"
"393","Kristaps Porziņģis","C","27","WAS","65","2120",".498","15.1",NA,".650",".166",".228",".162",".094",".350",NA,".559",".740",".534",".491",".417",".385",NA,".622",".949",NA,".095","83",NA,".053",".526",NA,"2","0"
"394","Micah Potter","PF","24","UTA","7","52",".667","14.3",NA,".533",".200",".333",".000",".000",".467",NA,".750","1.000",".600","","",".571",NA,".667","1.000",NA,".133","2",NA,".143","1.000",NA,"0","0"
"395","Dwight Powell","C","31","DAL","76","1458",".732","2.5",NA,".981",".799",".167",".004",".011",".019",NA,".746",".791",".578",".000",".333",".000",NA,".787","",NA,".316","76",NA,".400",".000",NA,"0","0"
"396","Norman Powell","SG","29","LAC","60","1567",".479","14.1",NA,".596",".241",".207",".087",".061",".404",NA,".534",".684",".456",".419",".372",".397",NA,".527",".877",NA,".025","16",NA,".317",".484",NA,"1","0"
"397","Jason Preston","PG","23","LAC","14","124",".439","17.1",NA,".561",".122",".293",".122",".024",".439",NA,".565",".800",".417",".600","1.000",".278",NA,".308",".600",NA,".000","0",NA,".222",".500",NA,"1","0"
"398","Joshua Primo","SG","20","SAS","4","93",".346","17.0",NA,".538",".038",".308",".115",".077",".462",NA,".429","1.000",".375",".333",".500",".250",NA,".333",".667",NA,".077","1",NA,".250",".333",NA,"0","0"
"399","Taurean Prince","PF","28","MIN","54","1192",".467","15.7",NA,".488",".216",".172",".047",".053",".512",NA,".557",".671",".462",".667",".300",".381",NA,".748",".946",NA,".013","4",NA,".418",".432",NA,"1","0"
"400","Payton Pritchard","PG","25","BOS","48","643",".412","18.6",NA,".371",".159",".118",".033",".053",".629",NA,".495",".615",".414",".375",".385",".364",NA,".422",".857",NA,".004","0",NA,".182",".321",NA,"3","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"401","Trevelin Queen","SG","25","IND","7","70",".241","15.6",NA,".483",".310",".138",".000",".034",".517",NA,".357",".556",".000","",".000",".133",NA,".600","1.000",NA,".034","0",NA,".133",".500",NA,"0","0"
"402","Neemias Queta","C","23","SAC","5","29",".667","3.0",NA,"1.000",".444",".556",".000",".000",".000",NA,".667",".750",".600","","","",NA,".833","",NA,".444","4",NA,"","",NA,"0","0"
"403","Immanuel Quickley","SG","23","NYK","81","2344",".448","16.5",NA,".515",".127",".205",".127",".056",".485",NA,".521",".681",".500",".471",".346",".370",NA,".263",".720",NA,".009","8",NA,".271",".366",NA,"1","0"
"404","Lester Quinones","SG","22","GSW","4","18",".400","22.3",NA,".200",".000",".200",".000",".000",".800",NA,".000","",".000","","",".500",NA,"",".500",NA,".000","0",NA,".250",".000",NA,"0","0"
"405","Julius Randle","PF","28","NYK","77","2737",".459","15.3",NA,".556",".220",".149",".123",".064",".444",NA,".553",".679",".519",".443",".407",".343",NA,".382",".752",NA,".051","62",NA,".142",".333",NA,"2","0"
"406","Austin Reaves","SG","24","LAL","64","1843",".529","15.4",NA,".559",".184",".194",".129",".053",".441",NA,".631",".833",".558",".540",".423",".398",NA,".405",".860",NA,".016","8",NA,".264",".368",NA,"2","0"
"407","Cam Reddish","SF","23","TOT","40","990",".446","13.5",NA,".538",".266",".189",".054",".016",".462",NA,".560",".675",".508",".412",".200",".313",NA,".723",".800",NA,".038","12",NA,".333",".354",NA,"2","0"
"407","Cam Reddish","SF","23","NYK","20","438",".449","12.8",NA,".588",".316",".206",".044",".022",".412",NA,".550",".651",".464",".333",".333",".304",NA,".750",".941",NA,".059","8",NA,".339",".368",NA,"1","0"
"407","Cam Reddish","SF","23","POR","20","552",".443","14.0",NA,".500",".227",".176",".063",".011",".500",NA,".568",".700",".548",".455",".000",".318",NA,".700",".714",NA,".023","4",NA,".330",".345",NA,"1","0"
"408","Davon Reed","SG","27","TOT","43","342",".333","18.6",NA,".452",".095",".131",".095",".131",".548",NA,".289",".375",".182",".125",".455",".370",NA,".455",".941",NA,".024","1",NA,".304",".357",NA,"0","0"
"408","Davon Reed","SG","27","DEN","35","315",".313","18.6",NA,".450",".088",".138",".100",".125",".550",NA,".250",".286",".182",".125",".400",".364",NA,".333",".938",NA,".025","1",NA,".318",".357",NA,"0","0"
"408","Davon Reed","SG","27","LAL","8","27",".750","18.5",NA,".500",".250",".000",".000",".250",".500",NA,"1.000","1.000","","","1.000",".500",NA,"1.000","1.000",NA,".000","0",NA,".000","",NA,"0","0"
"409","Paul Reed","C","23","PHI","69","755",".593","4.0",NA,".971",".651",".215",".057",".029",".029",NA,".606",".706",".356",".333",".500",".167",NA,".659","1.000",NA,".144","25",NA,".167",".000",NA,"0","0"
"410","Naz Reid","C","23","MIN","68","1251",".537","11.8",NA,".624",".341",".256",".023",".003",".376",NA,".653",".812",".466",".385",".500",".346",NA,".655","1.000",NA,".066","33",NA,".175",".263",NA,"0","0"
"411","Jared Rhoden","SG","23","DET","14","198",".386","14.8",NA,".545",".159",".205",".091",".045",".455",NA,".500",".571",".333",".750",".000",".250",NA,".583","1.000",NA,".045","2",NA,".400",".375",NA,"0","0"
"412","Nick Richards","C","25","CHO","65","1217",".629","2.6",NA,".997",".741",".227",".019",".010",".003",NA,".628",".741",".282",".500",".333","1.000",NA,".638","1.000",NA,".300","82",NA,".000","",NA,"0","0"
"413","Josh Richardson","SG","29","TOT","65","1530",".431","18.8",NA,".471",".090",".108",".164",".108",".529",NA,".506",".660",".467",".429",".533",".365",NA,".432",".916",NA,".011","5",NA,".160",".447",NA,"1","0"
"413","Josh Richardson","SG","29","SAS","42","997",".436","18.7",NA,".490",".089",".101",".187",".113",".510",NA,".518",".639",".585",".395",".565",".357",NA,".417",".878",NA,".012","5",NA,".130",".481",NA,"1","0"
"413","Josh Richardson","SG","29","NOP","23","533",".419","19.0",NA,".419",".095",".128",".101",".095",".581",NA,".468",".714",".211",".600",".429",".384",NA,".483","1.000",NA,".007","0",NA,".233",".400",NA,"0","0"
"414","Austin Rivers","SG","30","MIN","52","1016",".435","15.7",NA,".411",".201",".191",".019",".000",".589",NA,".558",".786",".350",".250","",".350",NA,".354",".907",NA,".019","3",NA,".659",".420",NA,"0","0"
"415","Duncan Robinson","SF","28","MIA","42","691",".371","21.9",NA,".190",".051",".089",".034",".013",".810",NA,".556",".750",".476",".500",".333",".328",NA,".880",".952",NA,".000","0",NA,".188",".306",NA,"0","0"
"416","Mitchell Robinson","C","24","NYK","59","1591",".671","1.2",NA,"1.000",".918",".075",".004",".004",".000",NA,".671",".700",".333","1.000",".000","",NA,".574","",NA,".521","130",NA,"","",NA,"0","0"
"417","Orlando Robinson","C","22","MIA","31","425",".528","5.3",NA,".933",".416",".472",".034",".011",".067",NA,".566",".757",".452",".000",".000",".000",NA,".574","",NA,".090","6",NA,".500",".000",NA,"0","0"
"418","Jeremiah Robinson-Earl","PF","22","OKC","43","814",".444","12.9",NA,".552",".395",".101",".020",".036",".448",NA,".533",".612",".320",".600",".222",".333",NA,".795","1.000",NA,".085","18",NA,".351",".333",NA,"0","0"
"419","Isaiah Roby","PF","24","SAS","42","474",".432","13.1",NA,".613",".265",".277",".026",".045",".387",NA,".516",".707",".395",".250",".286",".300",NA,".612","1.000",NA,".084","12",NA,".183",".364",NA,"0","0"
"420","David Roddy","PF","21","MEM","70","1258",".429","14.5",NA,".495",".271",".183",".026",".014",".505",NA,".553",".711",".351",".545",".167",".307",NA,".609",".969",NA,".057","22",NA,".415",".341",NA,"1","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"421","Ryan Rollins","PG","20","GSW","12","62",".350","13.1",NA,".550",".350",".150",".050",".000",".450",NA,".364",".429",".333",".000","",".333",NA,".250",".667",NA,".000","0",NA,".556",".200",NA,"0","0"
"422","Derrick Rose","PG","34","NYK","27","338",".384","14.2",NA,".604",".189",".258",".094",".063",".396",NA,".438",".567",".366",".467",".300",".302",NA,".333",".737",NA,".000","0",NA,".190",".333",NA,"0","0"
"423","Terrence Ross","SG","31","TOT","63","1330",".430","19.7",NA,".445",".037",".080",".178",".151",".555",NA,".507",".706",".514",".398",".586",".368",NA,".629",".937",NA,".019","6",NA,".264",".441",NA,"0","0"
"423","Terrence Ross","SG","31","ORL","42","944",".431","19.2",NA,".465",".043",".107",".174",".140",".535",NA,".489",".692",".500",".385",".548",".381",NA,".588",".918",NA,".023","5",NA,".231",".459",NA,"0","0"
"423","Terrence Ross","SG","31","PHO","21","386",".428","20.6",NA,".410",".024",".030",".187",".169",".590",NA,".544",".750",".600",".419",".643",".347",NA,".703",".971",NA,".012","1",NA,".316",".419",NA,"0","0"
"424","Terry Rozier","SG","28","CHO","63","2221",".415","15.1",NA,".575",".194",".199",".101",".081",".425",NA,".480",".622",".376",".467",".417",".327",NA,".326",".655",NA,".003","3",NA,".289",".301",NA,"2","0"
"425","Ricky Rubio","PG","32","CLE","33","566",".343","16.4",NA,".539",".152",".090",".242",".051",".461",NA,".417",".407",".188",".488",".444",".256",NA,".350",".952",NA,".000","0",NA,".439",".306",NA,"1","0"
"426","D'Angelo Russell","PG","26","TOT","71","2304",".469","17.6",NA,".483",".129",".137",".133",".084",".517",NA,".548",".721",".492",".484",".475",".396",NA,".315",".680",NA,".000","0",NA,".102",".400",NA,"0","0"
"426","D'Angelo Russell","PG","26","MIN","54","1778",".465","17.8",NA,".479",".118",".124",".147",".089",".521",NA,".546",".698",".511",".477",".508",".391",NA,".311",".649",NA,".000","0",NA,".113",".349",NA,"0","0"
"426","D'Angelo Russell","PG","26","LAL","17","526",".484","16.6",NA,".498",".163",".181",".086",".068",".502",NA,".555",".778",".450",".526",".333",".414",NA,".328",".783",NA,".000","0",NA,".063",".714",NA,"0","0"
"427","Matt Ryan","SF","25","TOT","34","310",".370","22.2",NA,".222",".046",".046",".009",".120",".778",NA,".333",".800",".200",".000",".231",".381",NA,".750","1.000",NA,".000","0",NA,".345",".552",NA,"0","0"
"427","Matt Ryan","SF","25","LAL","12","129",".306","22.9",NA,".286",".000",".041",".020",".224",".714",NA,".143","",".000",".000",".182",".371",NA,".500","1.000",NA,".000","0",NA,".257",".667",NA,"0","0"
"427","Matt Ryan","SF","25","MIN","22","181",".424","21.5",NA,".169",".085",".051",".000",".034",".831",NA,".600",".800",".333","",".500",".388",NA,".833","1.000",NA,".000","0",NA,".408",".500",NA,"0","0"
"428","Domantas Sabonis","C","26","SAC","79","2736",".615","6.2",NA,".912",".483",".314",".044",".058",".088",NA,".639",".764",".502",".512",".444",".373",NA,".570",".968",NA,".092","79",NA,".120",".200",NA,"1","0"
"429","Luka Šamanić","PF","23","UTA","7","161",".456","15.4",NA,".456",".246",".175",".018",".018",".544",NA,".692",".786",".700",".000",".000",".258",NA,".778","1.000",NA,".088","5",NA,".226",".286",NA,"0","0"
"430","Dario Šarić","PF-C","28","TOT","57","806",".458","14.0",NA,".585",".242",".224",".072",".047",".415",NA,".506",".731",".403",".300",".154",".391",NA,".671","1.000",NA,".004","0",NA,".252",".448",NA,"0","0"
"430","Dario Šarić","PF","28","PHO","37","533",".427","13.5",NA,".612",".236",".247",".073",".056",".388",NA,".450",".643",".386",".308",".100",".391",NA,".633","1.000",NA,".006","0",NA,".319",".409",NA,"0","0"
"430","Dario Šarić","C","28","OKC","20","273",".515","14.9",NA,".535",".253",".182",".071",".030",".465",NA,".623",".880",".444",".286",".333",".391",NA,".727","1.000",NA,".000","0",NA,".152",".571",NA,"0","0"
"431","Olivier Sarr","C","23","OKC","9","114",".500","8.3",NA,".733",".600",".100",".033",".000",".267",NA,".636",".611",".667","1.000","",".125",NA,".929","1.000",NA,".400","10",NA,".125",".000",NA,"0","0"
"432","Jordan Schakel","SF","24","WAS","2","6",".500","16.1",NA,".500",".000",".500",".000",".000",".500",NA,".000","",".000","","","1.000",NA,"","1.000",NA,".000","0",NA,".000","",NA,"0","0"
"433","Admiral Schofield","PF","25","ORL","37","451",".451","16.4",NA,".393",".221",".164",".008",".000",".607",NA,".646",".704",".600",".000","",".324",NA,".645",".958",NA,".008","0",NA,".351",".385",NA,"0","0"
"434","Dennis Schröder","PG","29","LAL","66","1986",".415","14.4",NA,".654",".168",".208",".180",".098",".346",NA,".461",".550",".422",".462",".391",".329",NA,".250",".905",NA,".000","0",NA,".258",".345",NA,"0","0"
"435","Jay Scrubb","SG","22","ORL","2","30",".714","9.7",NA,".714",".429",".286",".000",".000",".286",NA,".600",".667",".500","","","1.000",NA,".333",".500",NA,".143","1",NA,".500","1.000",NA,"0","0"
"436","Dereon Seabron","SG","22","NOP","5","12",".400","5.6",NA,"1.000",".400",".600",".000",".000",".000",NA,".400","1.000",".000","","","",NA,".500","",NA,".200","1",NA,"","",NA,"0","0"
"437","Alperen Şengün","C","20","HOU","75","2171",".553","6.0",NA,".929",".395",".464",".053",".016",".071",NA,".570",".677",".499",".476",".308",".333",NA,".499","1.000",NA,".109","77",NA,".035",".000",NA,"1","0"
"438","Collin Sexton","PG","24","UTA","48","1145",".506","11.1",NA,".739",".256",".355",".090",".038",".261",NA,".546",".608",".506",".595",".389",".393",NA,".328",".729",NA,".021","7",NA,".205",".440",NA,"0","0"
"439","Landry Shamet","SG","25","PHO","40","807",".377","19.6",NA,".337",".137",".067",".077",".057",".663",NA,".376",".537",".250",".261",".294",".377",NA,".605",".880",NA,".013","2",NA,".226",".467",NA,"1","0"
"440","Day'Ron Sharpe","C","21","BRK","48","552",".544","3.8",NA,".936",".684",".228",".018",".006",".064",NA,".544",".641",".282",".333",".000",".545",NA,".632",".833",NA,".228","32",NA,".091",".000",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"441","Shaedon Sharpe","SG","19","POR","80","1779",".472","15.0",NA,".563",".285",".114",".049",".111",".437",NA,".559",".708",".392",".313",".444",".360",NA,".549",".882",NA,".108","62",NA,".322",".407",NA,"2","0"
"442","Pascal Siakam","PF","28","TOR","71","2652",".480","12.2",NA,".781",".192",".292",".159",".126",".219",NA,".523",".750",".474",".469",".370",".324",NA,".311",".849",NA,".025","32",NA,".199",".351",NA,"3","0"
"443","Chris Silva","PF","26","DAL","1","3","1.000","7.4",NA,"1.000",".000","1.000",".000",".000",".000",NA,"1.000","","1.000","","","",NA,".000","",NA,".000","0",NA,"","",NA,"0","0"
"444","Ben Simmons","PG","26","BRK","42","1105",".566","4.8",NA,".991",".430",".464",".094",".004",".009",NA,".571",".713",".468",".455",".000",".000",NA,".617","",NA,".157","32",NA,".000","",NA,"0","0"
"445","Kobi Simmons","SG","25","CHO","5","28",".167","22.2",NA,".167",".167",".000",".000",".000",".833",NA,".000",".000","","","",".200",NA,"","1.000",NA,".000","0",NA,".000","",NA,"0","0"
"446","Marko Simonovic","C","23","CHI","7","20",".286","18.5",NA,".429",".000",".429",".000",".000",".571",NA,".333","",".333","","",".250",NA,"1.000","1.000",NA,".000","0",NA,".000","",NA,"0","0"
"447","Anfernee Simons","SG","23","POR","62","2171",".447","17.9",NA,".462",".166",".124",".092",".080",".538",NA,".528",".647",".431",".542",".417",".377",NA,".290",".684",NA,".029","26",NA,".107",".400",NA,"1","0"
"448","Jericho Sims","C","24","NYK","52","812",".776","2.5",NA,".991",".832",".103",".056",".000",".009",NA,".783",".831",".545",".500","",".000",NA,".711","",NA,".626","61",NA,".000","",NA,"1","0"
"449","Marcus Smart","PG","28","BOS","61","1957",".415","17.0",NA,".432",".140",".204",".053",".025",".568",NA,".519",".750",".431",".438",".267",".336",NA,".274",".826",NA,".008","4",NA,".193",".333",NA,"3","0"
"450","Dennis Smith Jr.","PG","25","CHO","54","1390",".412","11.4",NA,".754",".330",".232",".093",".100",".246",NA,".475",".664",".343",".357",".267",".216",NA,".420",".958",NA,".053","22",NA,".225",".280",NA,"1","0"
"451","Dru Smith","SG","25","TOT","15","158",".400","14.9",NA,".578",".178",".200",".178",".022",".422",NA,".500",".500",".556",".500",".000",".263",NA,".308","1.000",NA,".000","0",NA,".368",".429",NA,"0","0"
"451","Dru Smith","SG","25","MIA","5","67",".357","16.1",NA,".571",".071",".286",".143",".071",".429",NA,".500","1.000",".500",".500",".000",".167",NA,".500","1.000",NA,".000","0",NA,".333",".000",NA,"0","0"
"451","Dru Smith","SG","25","BRK","10","91",".419","14.3",NA,".581",".226",".161",".194",".000",".419",NA,".500",".429",".600",".500","",".308",NA,".222","1.000",NA,".000","0",NA,".385",".600",NA,"0","0"
"452","Ish Smith","PG","34","DEN","43","398",".397","13.4",NA,".908",".115",".160",".275",".359",".092",NA,".420",".533",".524",".333",".404",".167",NA,".260","1.000",NA,".000","0",NA,".167",".000",NA,"0","0"
"453","Jabari Smith Jr.","PF","19","HOU","79","2451",".408","16.2",NA,".562",".155",".178",".120",".109",".438",NA,".487",".725",".390",".458",".340",".307",NA,".648",".883",NA,".054","42",NA,".176",".348",NA,"1","0"
"454","Jalen Smith","C","22","IND","68","1279",".476","12.2",NA,".624",".346",".185",".037",".049",".376",NA,".593",".761",".404",".158",".400",".283",NA,".718",".963",NA,".085","42",NA,".298",".281",NA,"0","0"
"455","Xavier Sneed","SF","25","CHO","4","48",".500","17.6",NA,".400",".200",".100",".100",".000",".600",NA,".500","1.000",".000",".000","",".500",NA,"1.000","1.000",NA,".100","1",NA,".167","1.000",NA,"0","0"
"456","Jeremy Sochan","PF","19","SAS","56","1458",".453","10.4",NA,".757",".341",".279",".085",".053",".243",NA,".519",".665",".390",".447",".379",".246",NA,".590","1.000",NA,".127","60",NA,".254",".147",NA,"5","0"
"457","Jaden Springer","SG","20","PHI","16","89",".486","8.9",NA,".857",".343",".257",".200",".057",".143",NA,".500",".750",".444",".286",".000",".400",NA,".333",".500",NA,".086","3",NA,".400",".000",NA,"0","0"
"458","Lamar Stevens","SF","25","CLE","62","1120",".448","11.5",NA,".670",".330",".160",".139",".031",".330",NA,".513",".653",".326",".450",".222",".316",NA,".778",".967",NA,".104","24",NA,".621",".254",NA,"0","0"
"459","Isaiah Stewart","C","21","DET","50","1414",".442","13.5",NA,".535",".302",".209",".009",".016",".465",NA,".542",".571",".478",".500",".857",".327",NA,".688","1.000",NA,".075","29",NA,".327",".328",NA,"0","0"
"460","Max Strus","SF","26","MIA","80","2272",".410","19.4",NA,".287",".138",".114",".023",".011",".713",NA,".559",".679",".478",".444",".111",".350",NA,".701",".939",NA,".025","17",NA,".274",".461",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"461","Jalen Suggs","SG","21","ORL","53","1246",".419","15.8",NA,".545",".230",".162",".077",".077",".455",NA,".496",".588",".472",".324",".441",".327",NA,".317",".712",NA,".016","5",NA,".134",".407",NA,"2","0"
"462","Edmond Sumner","SG","27","BRK","53","736",".461","11.2",NA,".677",".316",".268",".052",".041",".323",NA,".511",".624",".389",".357",".636",".356",NA,".634",".903",NA,".033","9",NA,".529",".348",NA,"0","0"
"463","Cole Swider","SF","23","LAL","7","41",".333","24.2",NA,".111",".000",".000",".111",".000",".889",NA,".000","","",".000","",".375",NA,"","1.000",NA,".000","0",NA,".250","1.000",NA,"0","0"
"464","Jae'Sean Tate","SF","27","HOU","31","677",".480","8.5",NA,".799",".306",".437",".044",".013",".201",NA,".530",".614",".500",".300",".333",".283",NA,".351",".923",NA,".009","1",NA,".348",".313",NA,"1","0"
"465","Jayson Tatum","SF","24","BOS","74","2732",".466","14.8",NA,".560",".235",".208",".058",".060",".440",NA,".558",".738",".457",".389",".366",".350",NA,".515",".646",NA,".065","91",NA,".080",".455",NA,"0","0"
"466","Terry Taylor","PF","23","TOT","31","264",".520","9.0",NA,".747",".453",".240",".040",".013",".253",NA,".607",".765",".389",".333",".000",".263",NA,".618","1.000",NA,".053","4",NA,".421",".250",NA,"0","0"
"466","Terry Taylor","PF","23","IND","26","228",".462","9.6",NA,".723",".431",".231",".046",".015",".277",NA,".553",".714",".333",".333",".000",".222",NA,".538","1.000",NA,".046","3",NA,".444",".250",NA,"0","0"
